model,method,layer,subspace_dimension,toy_projection_accuracy,toy_patch_recovery,toy_flip_rate,toy_sign_flip_rate,toy_logit_diff_percent,toy_logit_flip_percent,toy_sign_flip_percent,toy_corrupted_accuracy,toy_clean_accuracy,toy_patched_accuracy,sst_projection_accuracy,sst_patch_recovery,sst_flip_rate,sst_sign_flip_rate,sst_logit_diff_percent,sst_logit_flip_percent,sst_sign_flip_percent,sst_corrupted_accuracy,sst_clean_accuracy,sst_patched_accuracy,n_toy_test,n_sst,n_sst_pairs
gpt2-small,mean_diff,0,1,0.9666666666666667,0.505506631108564,0.4642857015132904,0.3571428656578064,50.5506631108564,46.42857015132904,35.71428656578064,0.0,1.0,0.4642857015132904,0.8179611650485437,0.19631902193824816,0.2214285331112975,0.0,19.631902193824814,22.142853311129752,0.0,0.3444444537162781,0.6555555462837219,0.41333332657814026,30,1236,450
gpt2-small,kmeans,0,1,0.9666666666666667,0.505506631108564,0.4642857015132904,0.3571428656578064,50.5506631108564,46.42857015132904,35.71428656578064,0.0,1.0,0.4642857015132904,0.8179611650485437,0.19631902193824816,0.2214285331112975,0.0,19.631902193824814,22.142853311129752,0.0,0.3444444537162781,0.6555555462837219,0.41333332657814026,30,1236,450
gpt2-small,logistic_regression,0,1,0.9666666666666667,0.4812775628468842,0.4285714328289032,0.3571428656578064,48.127756284688424,42.85714328289032,35.71428656578064,0.0,1.0,0.4285714328289032,0.8179611650485437,0.1871165562147811,0.24285708538123196,0.0,18.71165562147811,24.285708538123195,0.0,0.3444444537162781,0.6555555462837219,0.41999998688697815,30,1236,450
gpt2-small,pca,0,1,0.9333333333333333,0.3700440913648719,0.2857142984867096,0.2857142984867096,37.00440913648719,28.57142984867096,28.57142984867096,0.0,1.0,0.2857142984867096,0.8179611650485437,0.16257668875704379,0.26428573344435125,0.0,16.25766887570438,26.428573344435126,0.0,0.3444444537162781,0.6555555462837219,0.4266666769981384,30,1236,450
gpt2-small,das,0,1,0.9333333333333333,0.7389868176222387,0.7142857313156128,0.5357142686843872,73.89868176222387,71.42857313156128,53.57142686843872,0.0,1.0,0.7142857313156128,0.8179611650485437,0.2085889556671168,0.27142855226993445,0.0,20.85889556671168,27.142855226993447,0.0,0.3444444537162781,0.6555555462837219,0.42888888716697693,30,1236,450
gpt2-small,das2d,0,2,,0.7257709325998962,0.75,0.5357142686843872,72.57709325998962,75.0,53.57142686843872,0.0,1.0,0.75,,0.21779142139058386,0.22857144773006555,0.0,21.779142139058386,22.857144773006553,0.0,0.3444444537162781,0.6555555462837219,0.41555556654930115,30,1236,450
gpt2-small,das3d,0,3,,0.7180617260727921,0.75,0.5357142686843872,71.80617260727921,75.0,53.57142686843872,0.0,1.0,0.75,,0.21165644424160582,0.27142855226993445,0.0,21.165644424160583,27.142855226993447,0.0,0.3444444537162781,0.6555555462837219,0.42888888716697693,30,1236,450
gpt2-small,random,0,1,0.36666666666666664,0.012114593435980857,0.0,0.0,1.2114593435980858,0.0,0.0,0.0,1.0,0.0,0.5622977346278317,-0.049079734915474627,0.03571428571428571,0.0,-4.907973491547462,3.571428571428571,0.0,0.3444444537162781,0.6555555462837219,0.35555556416511536,30,1236,450
gpt2-small,mean_diff,1,1,0.9666666666666667,0.631057292122919,0.6785714030265808,0.4642857015132904,63.10572921229189,67.85714030265808,46.42857015132904,0.0,1.0,0.6785714030265808,0.8179611650485437,0.27914111060401453,0.3428571236985059,0.0,27.914111060401453,34.28571236985059,0.0,0.3444444537162781,0.6555555462837219,0.4511111080646515,30,1236,450
gpt2-small,kmeans,1,1,0.9666666666666667,0.5848017864461493,0.6428571343421936,0.4642857015132904,58.48017864461493,64.28571343421936,46.42857015132904,0.0,1.0,0.6428571343421936,0.8179611650485437,0.2760736220295255,0.32142857142857145,0.0,27.60736220295255,32.142857142857146,0.0,0.3444444537162781,0.6555555462837219,0.4444444477558136,30,1236,450
gpt2-small,logistic_regression,1,1,0.9666666666666667,0.5947136864276918,0.6428571343421936,0.4285714328289032,59.471368642769185,64.28571343421936,42.85714328289032,0.0,1.0,0.6428571343421936,0.8179611650485437,0.21472393281609484,0.25,0.0,21.472393281609484,25.0,0.0,0.3444444537162781,0.6555555462837219,0.42222222685813904,30,1236,450
gpt2-small,pca,1,1,0.9,0.44162999738375014,0.3571428656578064,0.3928571343421936,44.162999738375014,35.71428656578064,39.28571343421936,0.0,1.0,0.3571428656578064,0.8179611650485437,0.15950920018255477,0.20714279966694626,0.0,15.950920018255477,20.714279966694626,0.0,0.3444444537162781,0.6555555462837219,0.40888887643814087,30,1236,450
gpt2-small,das,1,1,0.9666666666666667,0.7753304508878947,0.75,0.5714285969734192,77.53304508878946,75.0,57.14285969734192,0.0,1.0,0.75,0.8179611650485437,0.1472392458845987,0.25,0.0,14.72392458845987,25.0,0.0,0.3444444537162781,0.6555555462837219,0.42222222685813904,30,1236,450
gpt2-small,das2d,1,2,,0.7588105992050379,0.75,0.5714285969734192,75.88105992050379,75.0,57.14285969734192,0.0,1.0,0.75,,0.16257668875704379,0.19285716201577982,0.0,16.25766887570438,19.285716201577983,0.0,0.3444444537162781,0.6555555462837219,0.40444445610046387,30,1236,450
gpt2-small,das3d,1,3,,0.7599119091716854,0.75,0.5714285969734192,75.99119091716854,75.0,57.14285969734192,0.0,1.0,0.75,,0.22392637797047446,0.32857139025415466,0.0,22.392637797047446,32.857139025415464,0.0,0.3444444537162781,0.6555555462837219,0.4466666579246521,30,1236,450
gpt2-small,random,1,1,0.5666666666666667,0.0066080068421716836,0.0,0.0,0.6608006842171683,0.0,0.0,0.0,1.0,0.0,0.1820388349514563,-0.03374231261211695,0.021428552269934467,0.0,-3.374231261211695,2.1428552269934467,0.0,0.3444444537162781,0.6555555462837219,0.35111111402511597,30,1236,450
gpt2-small,mean_diff,2,1,0.9666666666666667,0.6795154361132695,0.75,0.5357142686843872,67.95154361132695,75.0,53.57142686843872,0.0,1.0,0.75,0.8179611650485437,0.2760736220295255,0.32857139025415466,0.0,27.60736220295255,32.857139025415464,0.0,0.3444444537162781,0.6555555462837219,0.4466666579246521,30,1236,450
gpt2-small,kmeans,2,1,0.8666666666666667,0.4757709532777178,0.5,0.3214285671710968,47.57709532777178,50.0,32.14285671710968,0.0,1.0,0.5,0.8179611650485437,0.11656440127788335,0.19999998084136303,0.0,11.656440127788334,19.9999980841363,0.0,0.3444444537162781,0.6555555462837219,0.40666666626930237,30,1236,450
gpt2-small,logistic_regression,2,1,1.0,0.6156387871672815,0.7142857313156128,0.4285714328289032,61.56387871672815,71.42857313156128,42.85714328289032,0.0,1.0,0.7142857313156128,0.8179611650485437,0.2914110443328832,0.32142857142857145,0.0,29.141104433288316,32.142857142857146,0.0,0.3444444537162781,0.6555555462837219,0.4444444477558136,30,1236,450
gpt2-small,pca,2,1,0.9333333333333333,0.4405286552516024,0.4285714328289032,0.3928571343421936,44.05286552516024,42.85714328289032,39.28571343421936,0.0,1.0,0.4285714328289032,0.8179611650485437,0.1257668875704378,0.17142851395266054,0.0,12.57668875704378,17.142851395266053,0.0,0.3444444537162781,0.6555555462837219,0.3977777659893036,30,1236,450
