model,method,layer,subspace_dimension,seed,epochs,learning_rate,batch_size,epoch,train_loss,evaluation_loss
gpt2-small,das,0,1,0,64,0.001,128,57,0.13879212737083435,0.13821138441562653
gpt2-small,das,0,1,0,64,0.001,128,58,0.13821138441562653,0.13646921515464783
gpt2-small,das,0,1,0,64,0.001,128,59,0.13646921515464783,0.14401860535144806
gpt2-small,das,0,1,0,64,0.001,128,60,0.14401860535144806,0.13821138441562653
gpt2-small,das,0,1,0,64,0.001,128,61,0.13821138441562653,0.13995355367660522
gpt2-small,das,0,1,0,64,0.001,128,62,0.13995355367660522,0.14169572293758392
gpt2-small,das,0,1,0,64,0.001,128,63,0.14169572293758392,0.13995355367660522
gpt2-small,das2d,0,2,0,64,0.001,128,0,0.9953542351722717,0.9825783967971802
gpt2-small,das2d,0,2,0,64,0.001,128,1,0.9825783967971802,0.9448316097259521
gpt2-small,das2d,0,2,0,64,0.001,128,2,0.9448316097259521,0.9024389982223511
gpt2-small,das2d,0,2,0,64,0.001,128,3,0.9024389982223511,0.8391405344009399
gpt2-small,das2d,0,2,0,64,0.001,128,4,0.8391405344009399,0.7671312093734741
gpt2-small,das2d,0,2,0,64,0.001,128,5,0.7671312093734741,0.6957026720046997
gpt2-small,das2d,0,2,0,64,0.001,128,6,0.6957026720046997,0.642276406288147
gpt2-small,das2d,0,2,0,64,0.001,128,7,0.642276406288147,0.611498236656189
gpt2-small,das2d,0,2,0,64,0.001,128,8,0.611498236656189,0.5813007950782776
gpt2-small,das2d,0,2,0,64,0.001,128,9,0.5813007950782776,0.5586527585983276
gpt2-small,das2d,0,2,0,64,0.001,128,10,0.5586527585983276,0.5365853905677795
gpt2-small,das2d,0,2,0,64,0.001,128,11,0.5365853905677795,0.5092915296554565
gpt2-small,das2d,0,2,0,64,0.001,128,12,0.5092915296554565,0.47154471278190613
gpt2-small,das2d,0,2,0,64,0.001,128,13,0.47154471278190613,0.4471544921398163
gpt2-small,das2d,0,2,0,64,0.001,128,14,0.4471544921398163,0.4117305278778076
gpt2-small,das2d,0,2,0,64,0.001,128,15,0.4117305278778076,0.3745644688606262
gpt2-small,das2d,0,2,0,64,0.001,128,16,0.3745644688606262,0.3536585569381714
gpt2-small,das2d,0,2,0,64,0.001,128,17,0.3536585569381714,0.3252032399177551
gpt2-small,das2d,0,2,0,64,0.001,128,18,0.3252032399177551,0.2996515929698944
gpt2-small,das2d,0,2,0,64,0.001,128,19,0.2996515929698944,0.2787456512451172
gpt2-small,das2d,0,2,0,64,0.001,128,20,0.2787456512451172,0.26132407784461975
gpt2-small,das2d,0,2,0,64,0.001,128,21,0.26132407784461975,0.2485482096672058
gpt2-small,das2d,0,2,0,64,0.001,128,22,0.2485482096672058,0.22067366540431976
gpt2-small,das2d,0,2,0,64,0.001,128,23,0.22067366540431976,0.20325203239917755
gpt2-small,das2d,0,2,0,64,0.001,128,24,0.20325203239917755,0.19686411321163177
