model,method,layer,subspace_dimension,toy_projection_accuracy,toy_patch_recovery,toy_flip_rate,toy_sign_flip_rate,toy_logit_diff_percent,toy_logit_flip_percent,toy_sign_flip_percent,toy_corrupted_accuracy,toy_clean_accuracy,toy_patched_accuracy,sst_projection_accuracy,sst_patch_recovery,sst_flip_rate,sst_sign_flip_rate,sst_logit_diff_percent,sst_logit_flip_percent,sst_sign_flip_percent,sst_corrupted_accuracy,sst_clean_accuracy,sst_patched_accuracy,n_toy_test,n_sst,n_sst_pairs
gpt2-small,mean_diff,0,1,0.9666666666666667,0.4976028476957985,0.4285714328289032,0.3571428656578064,49.76028476957985,42.85714328289032,35.71428656578064,0.0,1.0,0.4285714328289032,0.96875,0.31978331238338364,0.2,0.0,31.978331238338363,20.0,0.0,0.265625,0.734375,0.359375,30,32,64
gpt2-small,kmeans,0,1,0.9666666666666667,0.4976028476957985,0.4285714328289032,0.3571428656578064,49.76028476957985,42.85714328289032,35.71428656578064,0.0,1.0,0.4285714328289032,0.96875,0.31978331238338364,0.2,0.0,31.978331238338363,20.0,0.0,0.265625,0.734375,0.359375,30,32,64
gpt2-small,logistic_regression,0,1,0.9666666666666667,0.48813188182427775,0.4642857015132904,0.3571428656578064,48.81318818242777,46.42857015132904,35.71428656578064,0.0,1.0,0.4642857015132904,0.96875,0.32391116851751506,0.16666666666666666,0.0,32.391116851751505,16.666666666666664,0.0,0.265625,0.734375,0.34375,30,32,64
gpt2-small,pca,0,1,0.9333333333333333,0.3685352285283718,0.3214285671710968,0.2857142984867096,36.85352285283718,32.14285671710968,28.57142984867096,0.0,1.0,0.3214285671710968,0.96875,0.22459039037124603,0.13333333333333333,0.0,22.459039037124604,13.333333333333334,0.0,0.265625,0.734375,0.328125,30,32,64
gpt2-small,das,0,1,0.9,0.07482001667101894,0.0,0.0357142873108387,7.482001667101894,0.0,3.57142873108387,0.0,1.0,0.0,0.84375,0.025671426255022098,0.0,0.0,2.5671426255022096,0.0,0.0,0.265625,0.734375,0.265625,30,32,64
