model,method,layer,dataset,clean_id,corrupted_id,clean_label,corrupted_label,clean_logit_diff,corrupted_logit_diff,patched_logit_diff,clean_margin,corrupted_margin,patched_margin,recovery,recovery_percent,flipped
gpt2-small,mean_diff,0,toy_test,toy-test-pos-000,toy-test-neg-000,1,0,1.97271728515625,0.4060928523540497,1.59019935131073,1.97271728515625,0.4060928523540497,1.59019935131073,0.7558330344935862,75.58330344935861,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-000,toy-test-pos-001,0,1,0.4060928523540497,2.5448319911956787,2.006578207015991,-0.4060928523540497,-2.5448319911956787,-2.006578207015991,0.25166873996200084,25.16687399620008,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-001,toy-test-neg-001,1,0,2.5448319911956787,-2.2181899547576904,1.2280091047286987,2.5448319911956787,-2.2181899547576904,1.2280091047286987,0.7235320556131924,72.35320556131924,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-001,toy-test-pos-002,0,1,-2.2181899547576904,2.7425949573516846,2.0887038707733154,2.2181899547576904,-2.7425949573516846,-2.0887038707733154,0.1318120213158623,13.181202131586232,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-002,toy-test-neg-002,1,0,2.7425949573516846,-0.5889434814453125,1.1375397443771362,2.7425949573516846,-0.5889434814453125,1.1375397443771362,0.5182240149826618,51.82240149826618,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-002,toy-test-pos-003,0,1,-0.5889434814453125,2.9197938442230225,0.582073986530304,0.5889434814453125,-2.9197938442230225,-0.582073986530304,0.6662567301892386,66.62567301892386,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-003,toy-test-neg-003,1,0,2.9197938442230225,-0.9988144040107727,1.6205352544784546,2.9197938442230225,-0.9988144040107727,1.6205352544784546,0.6684387651329594,66.84387651329594,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-003,toy-test-pos-004,0,1,-0.9988144040107727,2.673222303390503,0.42534637451171875,0.9988144040107727,-2.673222303390503,-0.42534637451171875,0.6121605277932041,61.21605277932041,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-004,toy-test-neg-004,1,0,2.673222303390503,-0.011453247629106045,0.9882659912109375,2.673222303390503,-0.011453247629106045,0.9882659912109375,0.37237990954264905,37.23799095426491,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-004,toy-test-pos-005,0,1,-0.011453247629106045,3.28045654296875,2.999311923980713,0.011453247629106045,-3.28045654296875,-2.999311923980713,0.08540471546061941,8.54047154606194,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-005,toy-test-neg-005,1,0,3.28045654296875,-0.8335129022598267,0.3979339599609375,3.28045654296875,-0.8335129022598267,0.3979339599609375,0.29933301124756984,29.933301124756984,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-005,toy-test-pos-006,0,1,-0.8335129022598267,1.9624115228652954,1.5802429914474487,0.8335129022598267,-1.9624115228652954,-1.5802429914474487,0.1366877187321485,13.66877187321485,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-006,toy-test-neg-006,1,0,1.9624115228652954,-0.3979553282260895,1.345698595046997,1.9624115228652954,-0.3979553282260895,1.345698595046997,0.7387215773119576,73.87215773119577,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-006,toy-test-pos-007,0,1,-0.3979553282260895,2.7889938354492188,0.12746277451515198,0.3979553282260895,-2.7889938354492188,-0.12746277451515198,0.8351344575150644,83.51344575150644,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-007,toy-test-neg-007,1,0,2.7889938354492188,0.4975341856479645,2.2817139625549316,2.7889938354492188,0.4975341856479645,2.2817139625549316,0.7786215118654675,77.86215118654674,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-007,toy-test-pos-008,0,1,0.4975341856479645,2.350268602371216,1.4366928339004517,-0.4975341856479645,-2.350268602371216,-1.4366928339004517,0.4930959128435232,49.30959128435232,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-008,toy-test-neg-008,1,0,2.3502578735351562,0.2668564021587372,2.368905782699585,2.3502578735351562,0.2668564021587372,2.368905782699585,1.0089507036548788,100.89507036548788,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-008,toy-test-pos-009,0,1,0.2668564021587372,2.8138046264648438,1.467095971107483,-0.2668564021587372,-2.8138046264648438,-1.467095971107483,0.5287538405788597,52.87538405788597,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-009,toy-test-neg-009,1,0,2.8138046264648438,-0.6639175415039062,0.38745424151420593,2.8138046264648438,-0.6639175415039062,0.38745424151420593,0.30231620935728515,30.231620935728515,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-009,toy-test-pos-010,0,1,-0.6639175415039062,2.810642957687378,1.7122329473495483,0.6639175415039062,-2.810642957687378,-1.7122329473495483,0.3161291940645409,31.61291940645409,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-010,toy-test-neg-010,1,0,2.810642957687378,0.4801620543003082,1.560943603515625,2.810642957687378,0.4801620543003082,1.560943603515625,0.4637590240042442,46.37590240042442,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-010,toy-test-pos-011,0,1,0.4801620543003082,2.436711072921753,2.1142959594726562,-0.4801620543003082,-2.436711072921753,-2.1142959594726562,0.1647876492643489,16.47876492643489,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-011,toy-test-neg-011,1,0,2.436711072921753,-1.6372283697128296,1.0123001337051392,2.436711072921753,-1.6372283697128296,1.0123001337051392,0.6503603062161721,65.03603062161721,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-011,toy-test-pos-012,0,1,-1.6372283697128296,2.8364975452423096,0.08181152492761612,1.6372283697128296,-2.8364975452423096,-0.08181152492761612,0.6157476056157357,61.57476056157357,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-012,toy-test-neg-012,1,0,2.8364975452423096,-0.31898194551467896,1.763738989830017,2.8364975452423096,-0.31898194551467896,1.763738989830017,0.6600331079461583,66.00331079461583,1.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-012,toy-test-pos-013,0,1,-0.31898194551467896,2.4389495849609375,1.6598663330078125,0.31898194551467896,-2.4389495849609375,-1.6598663330078125,0.28248825010487805,28.248825010487803,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-pos-013,toy-test-neg-013,1,0,2.4389495849609375,-2.543194532394409,-0.5362152457237244,2.4389495849609375,-2.543194532394409,-0.5362152457237244,0.40283445026797865,40.283445026797864,0.0
gpt2-small,mean_diff,0,toy_test,toy-test-neg-013,toy-test-pos-000,0,1,-2.543194532394409,1.9727188348770142,-0.9183014035224915,2.543194532394409,-1.9727188348770142,0.9183014035224915,0.6401850530065194,64.01850530065194,1.0
gpt2-small,mean_diff,0,sst,sst-8968,sst-8874,1,0,1.3750152587890625,1.544281005859375,1.9394912719726562,1.3750152587890625,1.544281005859375,1.9394912719726562,-2.334850806815109,-233.48508068151085,0.0
gpt2-small,mean_diff,0,sst,sst-8874,sst-8968,0,1,1.544281005859375,1.3750152587890625,1.259552001953125,-1.544281005859375,-1.3750152587890625,-1.259552001953125,-0.6821418912827909,-68.21418912827909,0.0
gpt2-small,mean_diff,0,sst,sst-8433,sst-8851,1,0,1.9456253051757812,1.795013427734375,1.8575210571289062,1.9456253051757812,1.795013427734375,1.8575210571289062,0.41502456815764144,41.50245681576415,0.0
