model,method,layer,subspace_dimension,toy_projection_accuracy,toy_patch_recovery,toy_flip_rate,toy_sign_flip_rate,toy_logit_diff_percent,toy_logit_flip_percent,toy_sign_flip_percent,toy_corrupted_accuracy,toy_clean_accuracy,toy_patched_accuracy,sst_projection_accuracy,sst_patch_recovery,sst_flip_rate,sst_sign_flip_rate,sst_logit_diff_percent,sst_logit_flip_percent,sst_sign_flip_percent,sst_corrupted_accuracy,sst_clean_accuracy,sst_patched_accuracy,n_toy_test,n_sst,n_sst_pairs
gpt2-small,mean_diff,0,1,0.9666666666666667,0.49760348313889885,0.4285714328289032,0.3571428656578064,49.760348313889885,42.85714328289032,35.71428656578064,0.0,1.0,0.4285714328289032,0.9375,0.21131569688788526,0.0,0.5,21.131569688788527,0.0,50.0,0.0,1.0,0.0,30,32,4
gpt2-small,kmeans,0,1,0.9666666666666667,0.49760348313889885,0.4285714328289032,0.3571428656578064,49.760348313889885,42.85714328289032,35.71428656578064,0.0,1.0,0.4285714328289032,0.9375,0.21131569688788526,0.0,0.5,21.131569688788527,0.0,50.0,0.0,1.0,0.0,30,32,4
gpt2-small,logistic_regression,0,1,0.9666666666666667,0.48813190383672167,0.4642857015132904,0.3571428656578064,48.813190383672165,46.42857015132904,35.71428656578064,0.0,1.0,0.4642857015132904,0.9375,0.25720102515335347,0.0,0.5,25.72010251533535,0.0,50.0,0.0,1.0,0.0,30,32,4
gpt2-small,pca,0,1,0.9333333333333333,0.3685360874650782,0.3214285671710968,0.2857142984867096,36.853608746507824,32.14285671710968,28.57142984867096,0.0,1.0,0.3214285671710968,0.9375,0.0842038206246605,0.0,0.25,8.42038206246605,0.0,25.0,0.0,1.0,0.0,30,32,4
gpt2-small,das,0,1,0.6333333333333333,0.004235393496414047,0.0,0.0,0.42353934964140466,0.0,0.0,0.0,1.0,0.0,0.9375,-0.0002944150928953222,0.0,0.0,-0.029441509289532222,0.0,0.0,0.0,1.0,0.0,30,32,4
