model,method,layer,dataset,clean_id,corrupted_id,clean_label,corrupted_label,clean_logit_diff,corrupted_logit_diff,patched_logit_diff,clean_margin,corrupted_margin,patched_margin,recovery,recovery_percent,flipped
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-010,toy-test-neg-010,1,0,3.549999952316284,-1.7000000476837158,2.1500000953674316,3.549999952316284,-1.7000000476837158,2.1500000953674316,0.7333333605811709,73.3333360581171,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-010,toy-test-pos-011,0,1,-1.7000000476837158,3.924999952316284,3.5625,1.7000000476837158,-3.924999952316284,-3.5625,0.06444443596733941,6.444443596733941,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-011,toy-test-neg-011,1,0,3.924999952316284,-2.2250001430511475,0.45000001788139343,3.924999952316284,-2.2250001430511475,0.45000001788139343,0.43495936901651755,43.49593690165175,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-011,toy-test-pos-012,0,1,-2.2250001430511475,3.8500001430511475,0.875,2.2250001430511475,-3.8500001430511475,-0.875,0.48971193464089535,48.97119346408953,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-012,toy-test-neg-012,1,0,3.8500001430511475,-1.975000023841858,0.3499999940395355,3.8500001430511475,-1.975000023841858,0.3499999940395355,0.3991416225351843,39.91416225351843,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-012,toy-test-pos-013,0,1,-1.975000023841858,3.0625,2.424999952316284,1.975000023841858,-3.0625,-2.424999952316284,0.1265508773531529,12.655087735315291,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-013,toy-test-neg-013,1,0,3.0625,-3.512500047683716,-2.575000047683716,3.0625,-3.512500047683716,-2.575000047683716,0.1425855502967287,14.25855502967287,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-013,toy-test-pos-000,0,1,-3.512500047683716,3.625,-0.17499999701976776,3.512500047683716,-3.625,0.17499999701976776,0.5323992955002439,53.23992955002439,1.0
qwen-0.6b,mean_diff,0,sst,sst-8968,sst-8874,1,0,0.875,-3.0,-2.75,0.875,-3.0,-2.75,0.06451612903225806,6.451612903225806,0.0
qwen-0.6b,mean_diff,0,sst,sst-8874,sst-8968,0,1,-3.0,0.875,0.75,3.0,-0.875,-0.75,0.03225806451612903,3.225806451612903,0.0
qwen-0.6b,mean_diff,0,sst,sst-8433,sst-8851,1,0,3.0,-1.25,-1.25,3.0,-1.25,-1.25,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8851,sst-8433,0,1,-1.25,3.0,2.875,1.25,-3.0,-2.875,0.029411764705882353,2.9411764705882355,0.0
qwen-0.6b,mean_diff,0,sst,sst-196,sst-8315,1,0,2.125,-3.375,-3.625,2.125,-3.375,-3.625,-0.045454545454545456,-4.545454545454546,0.0
qwen-0.6b,mean_diff,0,sst,sst-8315,sst-196,0,1,-3.375,2.125,0.75,3.375,-2.125,-0.75,0.25,25.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-407,sst-8154,1,0,1.75,-2.25,1.625,1.75,-2.25,1.625,0.96875,96.875,1.0
qwen-0.6b,mean_diff,0,sst,sst-8154,sst-407,0,1,-2.25,1.75,1.625,2.25,-1.75,-1.625,0.03125,3.125,0.0
qwen-0.6b,mean_diff,0,sst,sst-1093,sst-8241,1,0,1.375,-3.625,-0.375,1.375,-3.625,-0.375,0.65,65.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8241,sst-1093,0,1,-3.625,1.375,1.25,3.625,-1.375,-1.25,0.025,2.5,0.0
qwen-0.6b,mean_diff,0,sst,sst-7965,sst-8717,1,0,2.125,-1.875,-1.875,2.125,-1.875,-1.875,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8717,sst-7965,0,1,-1.875,2.125,2.25,1.875,-2.125,-2.25,-0.03125,-3.125,0.0
qwen-0.6b,mean_diff,0,sst,sst-208,sst-8825,1,0,2.0,-0.5,0.25,2.0,-0.5,0.25,0.3,30.0,1.0
