model,method,layer,subspace_dimension,toy_projection_accuracy,toy_patch_recovery,toy_flip_rate,toy_sign_flip_rate,toy_logit_diff_percent,toy_logit_flip_percent,toy_sign_flip_percent,toy_corrupted_accuracy,toy_clean_accuracy,toy_patched_accuracy,sst_projection_accuracy,sst_patch_recovery,sst_flip_rate,sst_sign_flip_rate,sst_logit_diff_percent,sst_logit_flip_percent,sst_sign_flip_percent,sst_corrupted_accuracy,sst_clean_accuracy,sst_patched_accuracy,n_toy_test,n_sst,n_sst_pairs
qwen-0.6b,mean_diff,0,1,0.9333333333333333,0.35143255893883446,0.3214285671710968,0.3928571343421936,35.14325589388345,32.14285671710968,39.28571343421936,0.0,1.0,0.3214285671710968,0.8179611650485437,0.05006916718543412,0.024038462628046934,0.03378378227353096,5.006916718543412,2.4038462628046933,3.378378227353096,0.03153153136372566,0.9684684872627258,0.054054055362939835,30,1236,444
qwen-0.6b,kmeans,0,1,0.9333333333333333,0.35143255893883446,0.3214285671710968,0.3928571343421936,35.14325589388345,32.14285671710968,39.28571343421936,0.0,1.0,0.3214285671710968,0.8179611650485437,0.05006916718543412,0.024038462628046934,0.03378378227353096,5.006916718543412,2.4038462628046933,3.378378227353096,0.03153153136372566,0.9684684872627258,0.054054055362939835,30,1236,444
qwen-0.6b,logistic_regression,0,1,0.9333333333333333,0.35489836000221126,0.3214285671710968,0.3928571343421936,35.489836000221125,32.14285671710968,39.28571343421936,0.0,1.0,0.3214285671710968,0.8179611650485437,0.05018446209862775,0.03125000062125483,0.036036036908626556,5.018446209862775,3.1250000621254834,3.6036036908626556,0.03153153136372566,0.9684684872627258,0.06081081181764603,30,1236,444
qwen-0.6b,pca,0,1,0.7666666666666667,0.12299753076507454,0.0,0.0,12.299753076507454,0.0,0.0,0.0,1.0,0.0,0.1820388349514563,0.024400575465776154,0.009615382665600226,0.01576576568186283,2.4400575465776155,0.9615382665600226,1.5765765681862831,0.03153153136372566,0.9684684872627258,0.04054053872823715,30,1236,444
qwen-0.6b,das,0,1,0.9333333333333333,0.6017406374568196,0.6071428656578064,0.6428571343421936,60.17406374568196,60.71428656578064,64.28571343421936,0.0,1.0,0.6071428656578064,0.8179611650485437,0.05567937275401897,0.03846153463843181,0.04279279336333275,5.567937275401897,3.8461534638431814,4.279279336333275,0.03153153136372566,0.9684684872627258,0.06756756454706192,30,1236,444
qwen-0.6b,das2d,0,2,,0.544285294651395,0.5,0.5714285969734192,54.4285294651395,50.0,57.14285969734192,0.0,1.0,0.5,,0.046111294248043194,0.026442307300439262,0.03378378227353096,4.61112942480432,2.644230730043926,3.378378227353096,0.03153153136372566,0.9684684872627258,0.05630630627274513,30,1236,444
qwen-0.6b,das3d,0,3,,0.49399262764301755,0.4285714328289032,0.4642857015132904,49.39926276430175,42.85714328289032,46.42857015132904,0.0,1.0,0.4285714328289032,,0.04707195502489596,0.02884615197283159,0.029279278591275215,4.707195502489596,2.884615197283159,2.9279278591275215,0.03153153136372566,0.9684684872627258,0.05855855718255043,30,1236,444
qwen-0.6b,random,0,1,0.43333333333333335,0.00023103832249971867,0.0,0.0,0.023103832249971867,0.0,0.0,0.0,1.0,0.0,0.8179611650485437,0.00011529491319363655,0.002403844672392329,0.0,0.011529491319363655,0.2403844672392329,0.0,0.03153153136372566,0.9684684872627258,0.03378378227353096,30,1236,444
qwen-0.6b,mean_diff,1,1,0.9333333333333333,0.479590289196472,0.5,0.4285714328289032,47.9590289196472,50.0,42.85714328289032,0.0,1.0,0.5,0.8179611650485437,0.06490163160362761,0.048076921280062954,0.04954954981803894,6.49016316036276,4.807692128006296,4.954954981803894,0.03153153136372566,0.9684684872627258,0.07657657563686371,30,1236,444
qwen-0.6b,kmeans,1,1,0.7333333333333333,0.09334565208664171,0.0357142873108387,0.0,9.334565208664172,3.57142873108387,0.0,0.0,1.0,0.0357142873108387,0.8179611650485437,0.045073770195728,0.03846153463843181,0.04054053872823715,4.5073770195728,3.8461534638431814,4.054053872823715,0.03153153136372566,0.9684684872627258,0.06756756454706192,30,1236,444
