model,layer,method_a,method_b,absolute_cosine
qwen-0.6b,3,mean_diff,kmeans,0.6370238
qwen-0.6b,3,mean_diff,logistic_regression,0.92886174
qwen-0.6b,3,mean_diff,pca,0.81882983
qwen-0.6b,3,mean_diff,das,0.790768
qwen-0.6b,3,mean_diff,random,0.013298866
qwen-0.6b,3,kmeans,mean_diff,0.6370238
qwen-0.6b,3,kmeans,kmeans,1.0000005
qwen-0.6b,3,kmeans,logistic_regression,0.43106186
qwen-0.6b,3,kmeans,pca,0.92815197
qwen-0.6b,3,kmeans,das,0.4813972
qwen-0.6b,3,kmeans,random,0.01735359
qwen-0.6b,3,logistic_regression,mean_diff,0.92886174
qwen-0.6b,3,logistic_regression,kmeans,0.43106186
qwen-0.6b,3,logistic_regression,logistic_regression,0.99999964
qwen-0.6b,3,logistic_regression,pca,0.6085977
qwen-0.6b,3,logistic_regression,das,0.7577298
qwen-0.6b,3,logistic_regression,random,0.004667702
qwen-0.6b,3,pca,mean_diff,0.81882983
qwen-0.6b,3,pca,kmeans,0.92815197
qwen-0.6b,3,pca,logistic_regression,0.6085977
qwen-0.6b,3,pca,pca,0.9999997
qwen-0.6b,3,pca,das,0.61226547
qwen-0.6b,3,pca,random,0.029268723
qwen-0.6b,3,das,mean_diff,0.790768
qwen-0.6b,3,das,kmeans,0.4813972
qwen-0.6b,3,das,logistic_regression,0.7577298
qwen-0.6b,3,das,pca,0.61226547
qwen-0.6b,3,das,das,0.99999994
qwen-0.6b,3,das,random,0.0044368003
qwen-0.6b,3,random,mean_diff,0.013298866
qwen-0.6b,3,random,kmeans,0.01735359
qwen-0.6b,3,random,logistic_regression,0.004667702
qwen-0.6b,3,random,pca,0.029268723
qwen-0.6b,3,random,das,0.0044368003
qwen-0.6b,3,random,random,1.0000001
qwen-0.6b,4,mean_diff,mean_diff,1.0000005
qwen-0.6b,4,mean_diff,kmeans,0.787951
qwen-0.6b,4,mean_diff,logistic_regression,0.90019584
qwen-0.6b,4,mean_diff,pca,0.7905584
qwen-0.6b,4,mean_diff,das,0.7926437
qwen-0.6b,4,mean_diff,random,0.036300007
qwen-0.6b,4,kmeans,mean_diff,0.787951
qwen-0.6b,4,kmeans,kmeans,1.0000006
qwen-0.6b,4,kmeans,logistic_regression,0.52465075
qwen-0.6b,4,kmeans,pca,0.98537076
qwen-0.6b,4,kmeans,das,0.58422506
qwen-0.6b,4,kmeans,random,0.010897836
qwen-0.6b,4,logistic_regression,mean_diff,0.90019584
qwen-0.6b,4,logistic_regression,kmeans,0.52465075
qwen-0.6b,4,logistic_regression,logistic_regression,1.0000002
qwen-0.6b,4,logistic_regression,pca,0.5143137
qwen-0.6b,4,logistic_regression,das,0.74231666
qwen-0.6b,4,logistic_regression,random,0.04569244
qwen-0.6b,4,pca,mean_diff,0.7905584
qwen-0.6b,4,pca,kmeans,0.98537076
qwen-0.6b,4,pca,logistic_regression,0.5143137
qwen-0.6b,4,pca,pca,0.9999998
qwen-0.6b,4,pca,das,0.57938945
qwen-0.6b,4,pca,random,0.0028834036
qwen-0.6b,4,das,mean_diff,0.7926437
qwen-0.6b,4,das,kmeans,0.58422506
qwen-0.6b,4,das,logistic_regression,0.74231666
qwen-0.6b,4,das,pca,0.57938945
qwen-0.6b,4,das,das,1.0000004
qwen-0.6b,4,das,random,0.041638352
qwen-0.6b,4,random,mean_diff,0.036300007
qwen-0.6b,4,random,kmeans,0.010897836
qwen-0.6b,4,random,logistic_regression,0.04569244
qwen-0.6b,4,random,pca,0.0028834036
qwen-0.6b,4,random,das,0.041638352
qwen-0.6b,4,random,random,1.0000001
qwen-0.6b,5,mean_diff,mean_diff,1.0
qwen-0.6b,5,mean_diff,kmeans,0.795048
qwen-0.6b,5,mean_diff,logistic_regression,0.90434265
qwen-0.6b,5,mean_diff,pca,0.7964165
qwen-0.6b,5,mean_diff,das,0.81006324
qwen-0.6b,5,mean_diff,random,0.010356348
qwen-0.6b,5,kmeans,mean_diff,0.795048
qwen-0.6b,5,kmeans,kmeans,1.0
qwen-0.6b,5,kmeans,logistic_regression,0.5138041
qwen-0.6b,5,kmeans,pca,0.99045146
qwen-0.6b,5,kmeans,das,0.5745022
qwen-0.6b,5,kmeans,random,0.004149304
qwen-0.6b,5,logistic_regression,mean_diff,0.90434265
qwen-0.6b,5,logistic_regression,kmeans,0.5138041
qwen-0.6b,5,logistic_regression,logistic_regression,0.9999999
qwen-0.6b,5,logistic_regression,pca,0.5073134
qwen-0.6b,5,logistic_regression,das,0.7726603
qwen-0.6b,5,logistic_regression,random,0.025802962
qwen-0.6b,5,pca,mean_diff,0.7964165
qwen-0.6b,5,pca,kmeans,0.99045146
qwen-0.6b,5,pca,logistic_regression,0.5073134
qwen-0.6b,5,pca,pca,0.9999998
qwen-0.6b,5,pca,das,0.5709734
qwen-0.6b,5,pca,random,0.0031159616
qwen-0.6b,5,das,mean_diff,0.81006324
qwen-0.6b,5,das,kmeans,0.5745022
qwen-0.6b,5,das,logistic_regression,0.7726603
qwen-0.6b,5,das,pca,0.5709734
qwen-0.6b,5,das,das,1.0000001
qwen-0.6b,5,das,random,0.010430984
qwen-0.6b,5,random,mean_diff,0.010356348
qwen-0.6b,5,random,kmeans,0.004149304
qwen-0.6b,5,random,logistic_regression,0.025802962
qwen-0.6b,5,random,pca,0.0031159616
qwen-0.6b,5,random,das,0.010430984
qwen-0.6b,5,random,random,0.99999976
qwen-0.6b,6,mean_diff,mean_diff,1.0000002
qwen-0.6b,6,mean_diff,kmeans,0.8046408
qwen-0.6b,6,mean_diff,logistic_regression,0.91367966
qwen-0.6b,6,mean_diff,pca,0.8555544
qwen-0.6b,6,mean_diff,das,0.8116117
qwen-0.6b,6,mean_diff,random,0.043233663
qwen-0.6b,6,kmeans,mean_diff,0.8046408
qwen-0.6b,6,kmeans,kmeans,0.99999964
qwen-0.6b,6,kmeans,logistic_regression,0.5558437
qwen-0.6b,6,kmeans,pca,0.982712
qwen-0.6b,6,kmeans,das,0.6199038
qwen-0.6b,6,kmeans,random,0.077217415
qwen-0.6b,6,logistic_regression,mean_diff,0.91367966
qwen-0.6b,6,logistic_regression,kmeans,0.5558437
qwen-0.6b,6,logistic_regression,logistic_regression,1.0000002
qwen-0.6b,6,logistic_regression,pca,0.6128488
qwen-0.6b,6,logistic_regression,das,0.7578848
qwen-0.6b,6,logistic_regression,random,0.011864623
qwen-0.6b,6,pca,mean_diff,0.8555544
qwen-0.6b,6,pca,kmeans,0.982712
qwen-0.6b,6,pca,logistic_regression,0.6128488
qwen-0.6b,6,pca,pca,1.0000004
qwen-0.6b,6,pca,das,0.6603583
qwen-0.6b,6,pca,random,0.06906082
qwen-0.6b,6,das,mean_diff,0.8116117
qwen-0.6b,6,das,kmeans,0.6199038
qwen-0.6b,6,das,logistic_regression,0.7578848
qwen-0.6b,6,das,pca,0.6603583
qwen-0.6b,6,das,das,1.0000002
qwen-0.6b,6,das,random,0.034612965
qwen-0.6b,6,random,mean_diff,0.043233663
qwen-0.6b,6,random,kmeans,0.077217415
qwen-0.6b,6,random,logistic_regression,0.011864623
qwen-0.6b,6,random,pca,0.06906082
qwen-0.6b,6,random,das,0.034612965
qwen-0.6b,6,random,random,1.0000002
qwen-0.6b,7,mean_diff,mean_diff,1.0000001
qwen-0.6b,7,mean_diff,kmeans,0.8065753
qwen-0.6b,7,mean_diff,logistic_regression,0.9129878
qwen-0.6b,7,mean_diff,pca,0.8611628
qwen-0.6b,7,mean_diff,das,0.80764776
qwen-0.6b,7,mean_diff,random,0.014648085
qwen-0.6b,7,kmeans,mean_diff,0.8065753
qwen-0.6b,7,kmeans,kmeans,0.9999998
qwen-0.6b,7,kmeans,logistic_regression,0.5554827
qwen-0.6b,7,kmeans,pca,0.9825425
qwen-0.6b,7,kmeans,das,0.62289345
qwen-0.6b,7,kmeans,random,0.018244607
qwen-0.6b,7,logistic_regression,mean_diff,0.9129878
qwen-0.6b,7,logistic_regression,kmeans,0.5554827
qwen-0.6b,7,logistic_regression,logistic_regression,1.0000006
qwen-0.6b,7,logistic_regression,pca,0.62145734
qwen-0.6b,7,logistic_regression,das,0.74956083
qwen-0.6b,7,logistic_regression,random,0.009149713
qwen-0.6b,7,pca,mean_diff,0.8611628
qwen-0.6b,7,pca,kmeans,0.9825425
qwen-0.6b,7,pca,logistic_regression,0.62145734
qwen-0.6b,7,pca,pca,0.99999994
qwen-0.6b,7,pca,das,0.6685395
qwen-0.6b,7,pca,random,0.019106539
qwen-0.6b,7,das,mean_diff,0.80764776
qwen-0.6b,7,das,kmeans,0.62289345
qwen-0.6b,7,das,logistic_regression,0.74956083
qwen-0.6b,7,das,pca,0.6685395
qwen-0.6b,7,das,das,0.99999994
qwen-0.6b,7,das,random,0.013149634
qwen-0.6b,7,random,mean_diff,0.014648085
qwen-0.6b,7,random,kmeans,0.018244607
qwen-0.6b,7,random,logistic_regression,0.009149713
qwen-0.6b,7,random,pca,0.019106539
qwen-0.6b,7,random,das,0.013149634
qwen-0.6b,7,random,random,1.0000002
qwen-0.6b,8,mean_diff,mean_diff,1.0000001
qwen-0.6b,8,mean_diff,kmeans,0.7753173
qwen-0.6b,8,mean_diff,logistic_regression,0.90616876
qwen-0.6b,8,mean_diff,pca,0.8135445
qwen-0.6b,8,mean_diff,das,0.81108606
qwen-0.6b,8,mean_diff,random,0.03203926
qwen-0.6b,8,kmeans,mean_diff,0.7753173
qwen-0.6b,8,kmeans,kmeans,0.9999997
qwen-0.6b,8,kmeans,logistic_regression,0.49809808
qwen-0.6b,8,kmeans,pca,0.9894053
qwen-0.6b,8,kmeans,das,0.5676117
