model,layer,method_a,method_b,absolute_cosine
qwen-0.6b,15,kmeans,logistic_regression,0.8816531
qwen-0.6b,15,kmeans,pca,0.97032154
qwen-0.6b,15,kmeans,das,0.7937541
qwen-0.6b,15,kmeans,random,0.009609585
qwen-0.6b,15,logistic_regression,mean_diff,0.9345851
qwen-0.6b,15,logistic_regression,kmeans,0.8816531
qwen-0.6b,15,logistic_regression,logistic_regression,1.0000005
qwen-0.6b,15,logistic_regression,pca,0.79171956
qwen-0.6b,15,logistic_regression,das,0.77853245
qwen-0.6b,15,logistic_regression,random,0.0032221228
qwen-0.6b,15,pca,mean_diff,0.94259626
qwen-0.6b,15,pca,kmeans,0.97032154
qwen-0.6b,15,pca,logistic_regression,0.79171956
qwen-0.6b,15,pca,pca,0.9999996
qwen-0.6b,15,pca,das,0.74765724
qwen-0.6b,15,pca,random,0.0031133275
qwen-0.6b,15,das,mean_diff,0.8144234
qwen-0.6b,15,das,kmeans,0.7937541
qwen-0.6b,15,das,logistic_regression,0.77853245
qwen-0.6b,15,das,pca,0.74765724
qwen-0.6b,15,das,das,0.9999997
qwen-0.6b,15,das,random,0.007005791
qwen-0.6b,15,random,mean_diff,7.3001254e-05
qwen-0.6b,15,random,kmeans,0.009609585
qwen-0.6b,15,random,logistic_regression,0.0032221228
qwen-0.6b,15,random,pca,0.0031133275
qwen-0.6b,15,random,das,0.007005791
qwen-0.6b,15,random,random,0.9999998
qwen-0.6b,16,mean_diff,mean_diff,1.0000002
qwen-0.6b,16,mean_diff,kmeans,0.90622157
qwen-0.6b,16,mean_diff,logistic_regression,0.93720245
qwen-0.6b,16,mean_diff,pca,0.9164982
qwen-0.6b,16,mean_diff,das,0.8240979
qwen-0.6b,16,mean_diff,random,0.020686671
qwen-0.6b,16,kmeans,mean_diff,0.90622157
qwen-0.6b,16,kmeans,kmeans,0.9999999
qwen-0.6b,16,kmeans,logistic_regression,0.74688226
qwen-0.6b,16,kmeans,pca,0.98720443
qwen-0.6b,16,kmeans,das,0.74596214
qwen-0.6b,16,kmeans,random,0.015545032
qwen-0.6b,16,logistic_regression,mean_diff,0.93720245
qwen-0.6b,16,logistic_regression,kmeans,0.74688226
qwen-0.6b,16,logistic_regression,logistic_regression,0.99999994
qwen-0.6b,16,logistic_regression,pca,0.7580253
qwen-0.6b,16,logistic_regression,das,0.7851159
qwen-0.6b,16,logistic_regression,random,0.016793363
qwen-0.6b,16,pca,mean_diff,0.9164982
qwen-0.6b,16,pca,kmeans,0.98720443
qwen-0.6b,16,pca,logistic_regression,0.7580253
qwen-0.6b,16,pca,pca,1.0000004
qwen-0.6b,16,pca,das,0.73792905
qwen-0.6b,16,pca,random,0.011141622
qwen-0.6b,16,das,mean_diff,0.8240979
qwen-0.6b,16,das,kmeans,0.74596214
qwen-0.6b,16,das,logistic_regression,0.7851159
qwen-0.6b,16,das,pca,0.73792905
qwen-0.6b,16,das,das,1.0000002
qwen-0.6b,16,das,random,0.0020896392
qwen-0.6b,16,random,mean_diff,0.020686671
qwen-0.6b,16,random,kmeans,0.015545032
qwen-0.6b,16,random,logistic_regression,0.016793363
qwen-0.6b,16,random,pca,0.011141622
qwen-0.6b,16,random,das,0.0020896392
qwen-0.6b,16,random,random,1.0000001
qwen-0.6b,17,mean_diff,mean_diff,1.0000002
qwen-0.6b,17,mean_diff,kmeans,0.88928163
qwen-0.6b,17,mean_diff,logistic_regression,0.9222654
qwen-0.6b,17,mean_diff,pca,0.88625383
qwen-0.6b,17,mean_diff,das,0.8178228
qwen-0.6b,17,mean_diff,random,0.012797383
qwen-0.6b,17,kmeans,mean_diff,0.88928163
qwen-0.6b,17,kmeans,kmeans,0.9999999
qwen-0.6b,17,kmeans,logistic_regression,0.70034486
qwen-0.6b,17,kmeans,pca,0.98104274
qwen-0.6b,17,kmeans,das,0.7191361
qwen-0.6b,17,kmeans,random,0.017196123
qwen-0.6b,17,logistic_regression,mean_diff,0.9222654
qwen-0.6b,17,logistic_regression,kmeans,0.70034486
qwen-0.6b,17,logistic_regression,logistic_regression,1.0000002
qwen-0.6b,17,logistic_regression,pca,0.68458307
qwen-0.6b,17,logistic_regression,das,0.77279294
qwen-0.6b,17,logistic_regression,random,0.003472006
qwen-0.6b,17,pca,mean_diff,0.88625383
qwen-0.6b,17,pca,kmeans,0.98104274
qwen-0.6b,17,pca,logistic_regression,0.68458307
qwen-0.6b,17,pca,pca,0.9999996
qwen-0.6b,17,pca,das,0.690645
qwen-0.6b,17,pca,random,0.005855298
qwen-0.6b,17,das,mean_diff,0.8178228
qwen-0.6b,17,das,kmeans,0.7191361
qwen-0.6b,17,das,logistic_regression,0.77279294
qwen-0.6b,17,das,pca,0.690645
qwen-0.6b,17,das,das,1.0000004
qwen-0.6b,17,das,random,0.025703717
qwen-0.6b,17,random,mean_diff,0.012797383
qwen-0.6b,17,random,kmeans,0.017196123
qwen-0.6b,17,random,logistic_regression,0.003472006
qwen-0.6b,17,random,pca,0.005855298
qwen-0.6b,17,random,das,0.025703717
qwen-0.6b,17,random,random,0.9999998
qwen-0.6b,18,mean_diff,mean_diff,0.9999998
qwen-0.6b,18,mean_diff,kmeans,0.88398796
qwen-0.6b,18,mean_diff,logistic_regression,0.9406025
qwen-0.6b,18,mean_diff,pca,0.901542
qwen-0.6b,18,mean_diff,das,0.77541584
qwen-0.6b,18,mean_diff,random,0.04631515
qwen-0.6b,18,kmeans,mean_diff,0.88398796
qwen-0.6b,18,kmeans,kmeans,0.99999994
qwen-0.6b,18,kmeans,logistic_regression,0.7282036
qwen-0.6b,18,kmeans,pca,0.98033184
qwen-0.6b,18,kmeans,das,0.71931124
qwen-0.6b,18,kmeans,random,0.052092604
qwen-0.6b,18,logistic_regression,mean_diff,0.9406025
qwen-0.6b,18,logistic_regression,kmeans,0.7282036
qwen-0.6b,18,logistic_regression,logistic_regression,0.9999999
qwen-0.6b,18,logistic_regression,pca,0.73789823
qwen-0.6b,18,logistic_regression,das,0.70447314
qwen-0.6b,18,logistic_regression,random,0.03259681
qwen-0.6b,18,pca,mean_diff,0.901542
qwen-0.6b,18,pca,kmeans,0.98033184
qwen-0.6b,18,pca,logistic_regression,0.73789823
qwen-0.6b,18,pca,pca,1.0
qwen-0.6b,18,pca,das,0.7130734
qwen-0.6b,18,pca,random,0.05207764
qwen-0.6b,18,das,mean_diff,0.77541584
qwen-0.6b,18,das,kmeans,0.71931124
qwen-0.6b,18,das,logistic_regression,0.70447314
qwen-0.6b,18,das,pca,0.7130734
qwen-0.6b,18,das,das,0.99999976
qwen-0.6b,18,das,random,0.049114037
qwen-0.6b,18,random,mean_diff,0.04631515
qwen-0.6b,18,random,kmeans,0.052092604
qwen-0.6b,18,random,logistic_regression,0.03259681
qwen-0.6b,18,random,pca,0.05207764
qwen-0.6b,18,random,das,0.049114037
qwen-0.6b,18,random,random,1.0
qwen-0.6b,19,mean_diff,mean_diff,1.0
qwen-0.6b,19,mean_diff,kmeans,1.0
qwen-0.6b,19,mean_diff,logistic_regression,0.9344704
qwen-0.6b,19,mean_diff,pca,0.9140348
qwen-0.6b,19,mean_diff,das,0.78173375
qwen-0.6b,19,mean_diff,random,0.01762463
qwen-0.6b,19,kmeans,mean_diff,1.0
qwen-0.6b,19,kmeans,kmeans,1.0
qwen-0.6b,19,kmeans,logistic_regression,0.9344704
qwen-0.6b,19,kmeans,pca,0.9140348
qwen-0.6b,19,kmeans,das,0.78173375
qwen-0.6b,19,kmeans,random,0.01762463
qwen-0.6b,19,logistic_regression,mean_diff,0.9344704
qwen-0.6b,19,logistic_regression,kmeans,0.9344704
qwen-0.6b,19,logistic_regression,logistic_regression,0.9999997
qwen-0.6b,19,logistic_regression,pca,0.7492679
qwen-0.6b,19,logistic_regression,das,0.7150047
qwen-0.6b,19,logistic_regression,random,0.011187392
qwen-0.6b,19,pca,mean_diff,0.9140348
qwen-0.6b,19,pca,kmeans,0.9140348
qwen-0.6b,19,pca,logistic_regression,0.7492679
qwen-0.6b,19,pca,pca,1.0000006
qwen-0.6b,19,pca,das,0.7211451
qwen-0.6b,19,pca,random,0.018926913
qwen-0.6b,19,das,mean_diff,0.78173375
qwen-0.6b,19,das,kmeans,0.78173375
qwen-0.6b,19,das,logistic_regression,0.7150047
qwen-0.6b,19,das,pca,0.7211451
qwen-0.6b,19,das,das,1.0000004
qwen-0.6b,19,das,random,0.020710288
qwen-0.6b,19,random,mean_diff,0.01762463
qwen-0.6b,19,random,kmeans,0.01762463
qwen-0.6b,19,random,logistic_regression,0.011187392
qwen-0.6b,19,random,pca,0.018926913
qwen-0.6b,19,random,das,0.020710288
qwen-0.6b,19,random,random,1.0000002
qwen-0.6b,20,mean_diff,mean_diff,0.9999996
qwen-0.6b,20,mean_diff,kmeans,0.8537148
qwen-0.6b,20,mean_diff,logistic_regression,0.916767
qwen-0.6b,20,mean_diff,pca,0.88764596
qwen-0.6b,20,mean_diff,das,0.7720811
qwen-0.6b,20,mean_diff,random,0.020940728
qwen-0.6b,20,kmeans,mean_diff,0.8537148
qwen-0.6b,20,kmeans,kmeans,1.0000005
qwen-0.6b,20,kmeans,logistic_regression,0.65039533
qwen-0.6b,20,kmeans,pca,0.96812445
qwen-0.6b,20,kmeans,das,0.6771559
qwen-0.6b,20,kmeans,random,0.018323714
qwen-0.6b,20,logistic_regression,mean_diff,0.916767
qwen-0.6b,20,logistic_regression,kmeans,0.65039533
qwen-0.6b,20,logistic_regression,logistic_regression,1.0
qwen-0.6b,20,logistic_regression,pca,0.6747347
qwen-0.6b,20,logistic_regression,das,0.69542944
qwen-0.6b,20,logistic_regression,random,0.0017014872
qwen-0.6b,20,pca,mean_diff,0.88764596
qwen-0.6b,20,pca,kmeans,0.96812445
qwen-0.6b,20,pca,logistic_regression,0.6747347
qwen-0.6b,20,pca,pca,0.99999964
qwen-0.6b,20,pca,das,0.68588877
qwen-0.6b,20,pca,random,0.025056716
qwen-0.6b,20,das,mean_diff,0.7720811
qwen-0.6b,20,das,kmeans,0.6771559
qwen-0.6b,20,das,logistic_regression,0.69542944
qwen-0.6b,20,das,pca,0.68588877
qwen-0.6b,20,das,das,1.0
qwen-0.6b,20,das,random,0.009431894
qwen-0.6b,20,random,mean_diff,0.020940728
qwen-0.6b,20,random,kmeans,0.018323714
qwen-0.6b,20,random,logistic_regression,0.0017014872
qwen-0.6b,20,random,pca,0.025056716
qwen-0.6b,20,random,das,0.009431894
qwen-0.6b,20,random,random,1.0000001
qwen-0.6b,21,mean_diff,mean_diff,1.0000001
qwen-0.6b,21,mean_diff,kmeans,0.8857346
qwen-0.6b,21,mean_diff,logistic_regression,0.9131739
qwen-0.6b,21,mean_diff,pca,0.91444427
qwen-0.6b,21,mean_diff,das,0.7827985
qwen-0.6b,21,mean_diff,random,0.0072198873
qwen-0.6b,21,kmeans,mean_diff,0.8857346
qwen-0.6b,21,kmeans,kmeans,1.0000001
qwen-0.6b,21,kmeans,logistic_regression,0.70065814
qwen-0.6b,21,kmeans,pca,0.977579
qwen-0.6b,21,kmeans,das,0.71847314
qwen-0.6b,21,kmeans,random,0.0069770296
qwen-0.6b,21,logistic_regression,mean_diff,0.9131739
qwen-0.6b,21,logistic_regression,kmeans,0.70065814
qwen-0.6b,21,logistic_regression,logistic_regression,1.0
qwen-0.6b,21,logistic_regression,pca,0.718775
qwen-0.6b,21,logistic_regression,das,0.703418
qwen-0.6b,21,logistic_regression,random,0.019949272
qwen-0.6b,21,pca,mean_diff,0.91444427
qwen-0.6b,21,pca,kmeans,0.977579
qwen-0.6b,21,pca,logistic_regression,0.718775
qwen-0.6b,21,pca,pca,1.0000005
qwen-0.6b,21,pca,das,0.72077084
qwen-0.6b,21,pca,random,0.007849347
qwen-0.6b,21,das,mean_diff,0.7827985
qwen-0.6b,21,das,kmeans,0.71847314
qwen-0.6b,21,das,logistic_regression,0.703418
qwen-0.6b,21,das,pca,0.72077084
qwen-0.6b,21,das,das,1.0000001
qwen-0.6b,21,das,random,0.0057775257
qwen-0.6b,21,random,mean_diff,0.0072198873
qwen-0.6b,21,random,kmeans,0.0069770296
qwen-0.6b,21,random,logistic_regression,0.019949272
qwen-0.6b,21,random,pca,0.007849347
qwen-0.6b,21,random,das,0.0057775257
qwen-0.6b,21,random,random,1.0000002
qwen-0.6b,22,mean_diff,mean_diff,0.9999997
qwen-0.6b,22,mean_diff,kmeans,0.98926306
qwen-0.6b,22,mean_diff,logistic_regression,0.9135417
qwen-0.6b,22,mean_diff,pca,0.9049114
qwen-0.6b,22,mean_diff,das,0.77809066
qwen-0.6b,22,mean_diff,random,0.027862912
qwen-0.6b,22,kmeans,mean_diff,0.98926306
qwen-0.6b,22,kmeans,kmeans,0.9999999
qwen-0.6b,22,kmeans,logistic_regression,0.87929547
qwen-0.6b,22,kmeans,pca,0.9203874
qwen-0.6b,22,kmeans,das,0.77103806
qwen-0.6b,22,kmeans,random,0.027886573
qwen-0.6b,22,logistic_regression,mean_diff,0.9135417
qwen-0.6b,22,logistic_regression,kmeans,0.87929547
qwen-0.6b,22,logistic_regression,logistic_regression,1.0000002
qwen-0.6b,22,logistic_regression,pca,0.70424074
qwen-0.6b,22,logistic_regression,das,0.69577837
qwen-0.6b,22,logistic_regression,random,0.039064758
qwen-0.6b,22,pca,mean_diff,0.9049114
qwen-0.6b,22,pca,kmeans,0.9203874
qwen-0.6b,22,pca,logistic_regression,0.70424074
qwen-0.6b,22,pca,pca,0.99999994
qwen-0.6b,22,pca,das,0.7146992
qwen-0.6b,22,pca,random,0.036696926
qwen-0.6b,22,das,mean_diff,0.77809066
qwen-0.6b,22,das,kmeans,0.77103806
qwen-0.6b,22,das,logistic_regression,0.69577837
qwen-0.6b,22,das,pca,0.7146992
qwen-0.6b,22,das,das,0.99999976
qwen-0.6b,22,das,random,0.019782577
qwen-0.6b,22,random,mean_diff,0.027862912
qwen-0.6b,22,random,kmeans,0.027886573
qwen-0.6b,22,random,logistic_regression,0.039064758
qwen-0.6b,22,random,pca,0.036696926
qwen-0.6b,22,random,das,0.019782577
qwen-0.6b,22,random,random,1.0000001
qwen-0.6b,23,mean_diff,mean_diff,1.0
qwen-0.6b,23,mean_diff,kmeans,0.9894318
qwen-0.6b,23,mean_diff,logistic_regression,0.9128891
qwen-0.6b,23,mean_diff,pca,0.9008882
qwen-0.6b,23,mean_diff,das,0.78255165
qwen-0.6b,23,mean_diff,random,0.035068654
qwen-0.6b,23,kmeans,mean_diff,0.9894318
qwen-0.6b,23,kmeans,kmeans,1.0000001
qwen-0.6b,23,kmeans,logistic_regression,0.8781381
qwen-0.6b,23,kmeans,pca,0.91902685
qwen-0.6b,23,kmeans,das,0.77648246
qwen-0.6b,23,kmeans,random,0.041445512
qwen-0.6b,23,logistic_regression,mean_diff,0.9128891
qwen-0.6b,23,logistic_regression,kmeans,0.8781381
qwen-0.6b,23,logistic_regression,logistic_regression,0.9999999
qwen-0.6b,23,logistic_regression,pca,0.70067704
qwen-0.6b,23,logistic_regression,das,0.7060449
qwen-0.6b,23,logistic_regression,random,0.034371328
qwen-0.6b,23,pca,mean_diff,0.9008882
qwen-0.6b,23,pca,kmeans,0.91902685
qwen-0.6b,23,pca,logistic_regression,0.70067704
qwen-0.6b,23,pca,pca,1.0000004
qwen-0.6b,23,pca,das,0.71312875
qwen-0.6b,23,pca,random,0.036691215
qwen-0.6b,23,das,mean_diff,0.78255165
qwen-0.6b,23,das,kmeans,0.77648246
qwen-0.6b,23,das,logistic_regression,0.7060449
qwen-0.6b,23,das,pca,0.71312875
qwen-0.6b,23,das,das,0.9999999
qwen-0.6b,23,das,random,0.009055398
qwen-0.6b,23,random,mean_diff,0.035068654
qwen-0.6b,23,random,kmeans,0.041445512
qwen-0.6b,23,random,logistic_regression,0.034371328
qwen-0.6b,23,random,pca,0.036691215
qwen-0.6b,23,random,das,0.009055398
qwen-0.6b,23,random,random,1.0000004
qwen-0.6b,24,mean_diff,mean_diff,0.99999976
qwen-0.6b,24,mean_diff,kmeans,0.9898198
qwen-0.6b,24,mean_diff,logistic_regression,0.9109897
qwen-0.6b,24,mean_diff,pca,0.9135974
qwen-0.6b,24,mean_diff,das,0.7797509
qwen-0.6b,24,mean_diff,random,0.025276836
qwen-0.6b,24,kmeans,mean_diff,0.9898198
qwen-0.6b,24,kmeans,kmeans,0.9999999
qwen-0.6b,24,kmeans,logistic_regression,0.8757069
qwen-0.6b,24,kmeans,pca,0.9309639
qwen-0.6b,24,kmeans,das,0.77435094
qwen-0.6b,24,kmeans,random,0.013417715
qwen-0.6b,24,logistic_regression,mean_diff,0.9109897
qwen-0.6b,24,logistic_regression,kmeans,0.8757069
qwen-0.6b,24,logistic_regression,logistic_regression,0.99999976
qwen-0.6b,24,logistic_regression,pca,0.71159863
qwen-0.6b,24,logistic_regression,das,0.7079465
qwen-0.6b,24,logistic_regression,random,0.03227256
qwen-0.6b,24,pca,mean_diff,0.9135974
qwen-0.6b,24,pca,kmeans,0.9309639
qwen-0.6b,24,pca,logistic_regression,0.71159863
qwen-0.6b,24,pca,pca,1.0000002
qwen-0.6b,24,pca,das,0.7154234
qwen-0.6b,24,pca,random,0.00694622
qwen-0.6b,24,das,mean_diff,0.7797509
qwen-0.6b,24,das,kmeans,0.77435094
qwen-0.6b,24,das,logistic_regression,0.7079465
qwen-0.6b,24,das,pca,0.7154234
qwen-0.6b,24,das,das,0.99999994
qwen-0.6b,24,das,random,0.0069319885
qwen-0.6b,24,random,mean_diff,0.025276836
qwen-0.6b,24,random,kmeans,0.013417715
qwen-0.6b,24,random,logistic_regression,0.03227256
qwen-0.6b,24,random,pca,0.00694622
qwen-0.6b,24,random,das,0.0069319885
qwen-0.6b,24,random,random,1.0000001
qwen-0.6b,25,mean_diff,mean_diff,1.0000005
qwen-0.6b,25,mean_diff,kmeans,0.8866103
qwen-0.6b,25,mean_diff,logistic_regression,0.90292764
qwen-0.6b,25,mean_diff,pca,0.9075156
qwen-0.6b,25,mean_diff,das,0.7788533
qwen-0.6b,25,mean_diff,random,0.011389625
qwen-0.6b,25,kmeans,mean_diff,0.8866103
qwen-0.6b,25,kmeans,kmeans,1.0000002
qwen-0.6b,25,kmeans,logistic_regression,0.6863801
qwen-0.6b,25,kmeans,pca,0.9770038
qwen-0.6b,25,kmeans,das,0.7137276
qwen-0.6b,25,kmeans,random,0.0018286323
qwen-0.6b,25,logistic_regression,mean_diff,0.90292764
qwen-0.6b,25,logistic_regression,kmeans,0.6863801
qwen-0.6b,25,logistic_regression,logistic_regression,0.99999994
qwen-0.6b,25,logistic_regression,pca,0.6922554
qwen-0.6b,25,logistic_regression,das,0.6988386
qwen-0.6b,25,logistic_regression,random,0.018020894
qwen-0.6b,25,pca,mean_diff,0.9075156
qwen-0.6b,25,pca,kmeans,0.9770038
qwen-0.6b,25,pca,logistic_regression,0.6922554
qwen-0.6b,25,pca,pca,1.0000002
qwen-0.6b,25,pca,das,0.7130576
qwen-0.6b,25,pca,random,0.0003340505
qwen-0.6b,25,das,mean_diff,0.7788533
qwen-0.6b,25,das,kmeans,0.7137276
qwen-0.6b,25,das,logistic_regression,0.6988386
qwen-0.6b,25,das,pca,0.7130576
qwen-0.6b,25,das,das,1.0000005
qwen-0.6b,25,das,random,0.0021681068
qwen-0.6b,25,random,mean_diff,0.011389625
qwen-0.6b,25,random,kmeans,0.0018286323
qwen-0.6b,25,random,logistic_regression,0.018020894
qwen-0.6b,25,random,pca,0.0003340505
qwen-0.6b,25,random,das,0.0021681068
qwen-0.6b,25,random,random,1.0000002
qwen-0.6b,26,mean_diff,mean_diff,0.9999999
qwen-0.6b,26,mean_diff,kmeans,0.8874216
qwen-0.6b,26,mean_diff,logistic_regression,0.89688224
qwen-0.6b,26,mean_diff,pca,0.90623915
qwen-0.6b,26,mean_diff,das,0.72321075
qwen-0.6b,26,mean_diff,random,0.015448489
qwen-0.6b,26,kmeans,mean_diff,0.8874216
qwen-0.6b,26,kmeans,kmeans,1.0000002
qwen-0.6b,26,kmeans,logistic_regression,0.68174535
qwen-0.6b,26,kmeans,pca,0.9786314
qwen-0.6b,26,kmeans,das,0.67095846
qwen-0.6b,26,kmeans,random,0.0070307585
qwen-0.6b,26,logistic_regression,mean_diff,0.89688224
qwen-0.6b,26,logistic_regression,kmeans,0.68174535
qwen-0.6b,26,logistic_regression,logistic_regression,1.0000005
qwen-0.6b,26,logistic_regression,pca,0.6875557
qwen-0.6b,26,logistic_regression,das,0.62219167
qwen-0.6b,26,logistic_regression,random,0.016808968
qwen-0.6b,26,pca,mean_diff,0.90623915
qwen-0.6b,26,pca,kmeans,0.9786314
qwen-0.6b,26,pca,logistic_regression,0.6875557
qwen-0.6b,26,pca,pca,1.0000004
qwen-0.6b,26,pca,das,0.68022686
qwen-0.6b,26,pca,random,0.0050582523
qwen-0.6b,26,das,mean_diff,0.72321075
qwen-0.6b,26,das,kmeans,0.67095846
qwen-0.6b,26,das,logistic_regression,0.62219167
qwen-0.6b,26,das,pca,0.68022686
qwen-0.6b,26,das,das,1.0
qwen-0.6b,26,das,random,0.007271683
qwen-0.6b,26,random,mean_diff,0.015448489
qwen-0.6b,26,random,kmeans,0.0070307585
qwen-0.6b,26,random,logistic_regression,0.016808968
qwen-0.6b,26,random,pca,0.0050582523
qwen-0.6b,26,random,das,0.007271683
qwen-0.6b,26,random,random,1.0000002
qwen-0.6b,27,mean_diff,mean_diff,1.0000001
qwen-0.6b,27,mean_diff,kmeans,0.9907069
qwen-0.6b,27,mean_diff,logistic_regression,0.8905978
qwen-0.6b,27,mean_diff,pca,0.921705
qwen-0.6b,27,mean_diff,das,0.68860734
qwen-0.6b,27,mean_diff,random,0.05422094
qwen-0.6b,27,kmeans,mean_diff,0.9907069
qwen-0.6b,27,kmeans,kmeans,1.0
qwen-0.6b,27,kmeans,logistic_regression,0.8575176
qwen-0.6b,27,kmeans,pca,0.9393749
qwen-0.6b,27,kmeans,das,0.69135785
qwen-0.6b,27,kmeans,random,0.055857044
qwen-0.6b,27,logistic_regression,mean_diff,0.8905978
qwen-0.6b,27,logistic_regression,kmeans,0.8575176
qwen-0.6b,27,logistic_regression,logistic_regression,1.0000004
qwen-0.6b,27,logistic_regression,pca,0.72252125
qwen-0.6b,27,logistic_regression,das,0.5654511
qwen-0.6b,27,logistic_regression,random,0.06723562
qwen-0.6b,27,pca,mean_diff,0.921705
qwen-0.6b,27,pca,kmeans,0.9393749
qwen-0.6b,27,pca,logistic_regression,0.72252125
qwen-0.6b,27,pca,pca,1.0
qwen-0.6b,27,pca,das,0.7010269
qwen-0.6b,27,pca,random,0.0448133
qwen-0.6b,27,das,mean_diff,0.68860734
qwen-0.6b,27,das,kmeans,0.69135785
qwen-0.6b,27,das,logistic_regression,0.5654511
qwen-0.6b,27,das,pca,0.7010269
qwen-0.6b,27,das,das,0.99999964
qwen-0.6b,27,das,random,0.049503423
qwen-0.6b,27,random,mean_diff,0.05422094
qwen-0.6b,27,random,kmeans,0.055857044
qwen-0.6b,27,random,logistic_regression,0.06723562
qwen-0.6b,27,random,pca,0.0448133
qwen-0.6b,27,random,das,0.049503423
qwen-0.6b,27,random,random,0.9999998
qwen-0.6b,28,mean_diff,mean_diff,0.9999999
qwen-0.6b,28,mean_diff,kmeans,0.99076015
qwen-0.6b,28,mean_diff,logistic_regression,0.8793113
qwen-0.6b,28,mean_diff,pca,0.9147063
qwen-0.6b,28,mean_diff,das,0.04152088
qwen-0.6b,28,mean_diff,random,0.02969563
qwen-0.6b,28,kmeans,mean_diff,0.99076015
qwen-0.6b,28,kmeans,kmeans,1.0000002
qwen-0.6b,28,kmeans,logistic_regression,0.8459323
qwen-0.6b,28,kmeans,pca,0.933133
qwen-0.6b,28,kmeans,das,0.044089757
qwen-0.6b,28,kmeans,random,0.027848601
qwen-0.6b,28,logistic_regression,mean_diff,0.8793113
qwen-0.6b,28,logistic_regression,kmeans,0.8459323
qwen-0.6b,28,logistic_regression,logistic_regression,0.99999994
qwen-0.6b,28,logistic_regression,pca,0.70587605
qwen-0.6b,28,logistic_regression,das,0.044607304
qwen-0.6b,28,logistic_regression,random,0.018336132
qwen-0.6b,28,pca,mean_diff,0.9147063
qwen-0.6b,28,pca,kmeans,0.933133
qwen-0.6b,28,pca,logistic_regression,0.70587605
qwen-0.6b,28,pca,pca,0.9999999
qwen-0.6b,28,pca,das,0.026290983
qwen-0.6b,28,pca,random,0.014671523
qwen-0.6b,28,das,mean_diff,0.04152088
qwen-0.6b,28,das,kmeans,0.044089757
qwen-0.6b,28,das,logistic_regression,0.044607304
qwen-0.6b,28,das,pca,0.026290983
qwen-0.6b,28,das,das,0.99999994
qwen-0.6b,28,das,random,0.0029942577
qwen-0.6b,28,random,mean_diff,0.02969563
qwen-0.6b,28,random,kmeans,0.027848601
qwen-0.6b,28,random,logistic_regression,0.018336132
qwen-0.6b,28,random,pca,0.014671523
qwen-0.6b,28,random,das,0.0029942577
qwen-0.6b,28,random,random,1.0000002
